Date,Actual,Forecasted
2016-03-18 00:00:00,324.75,318.68238207786857
2016-03-21 00:00:00,331.45,319.1435159681716
2016-03-22 00:00:00,323.15,318.8135691260594
2016-03-23 00:00:00,324.25,319.1042820237393
2016-03-28 00:00:00,322.45,320.62102175383154
2016-03-29 00:00:00,320.0,320.61255472271307
2016-03-30 00:00:00,327.35,321.2724019610208
2016-03-31 00:00:00,328.25,321.95022580755096
2016-04-01 00:00:00,336.05,322.48212250185975
2016-04-04 00:00:00,330.7,324.9476477313507
2016-04-05 00:00:00,326.45,325.3428273412171
2016-04-06 00:00:00,325.9,326.3780635792457
2016-04-07 00:00:00,319.45,327.3818415169383
2016-04-08 00:00:00,321.2,328.1759653988353
2016-04-11 00:00:00,327.25,330.9855786337866
2016-04-12 00:00:00,322.4,331.31437467240835
2016-04-13 00:00:00,331.25,332.20388216183164
2016-04-18 00:00:00,335.4,334.8301715873136
2016-04-20 00:00:00,335.5,334.83972730619416
2016-04-21 00:00:00,329.95,334.97086628548976
2016-04-22 00:00:00,325.8,334.8004380410692
2016-04-25 00:00:00,320.95,334.4482985643025
2016-04-26 00:00:00,327.4,333.7162362554893
2016-04-27 00:00:00,333.55,333.59634318857314
2016-04-28 00:00:00,322.9,333.4268790258215
2016-04-29 00:00:00,324.95,333.0574962757176
2016-05-02 00:00:00,321.15,332.765358286682
2016-05-03 00:00:00,316.05,332.2802746941633
2016-05-04 00:00:00,312.65,332.5120182393132
2016-05-05 00:00:00,317.65,332.7954826760269
2016-05-06 00:00:00,317.7,332.97106285906744
2016-05-09 00:00:00,324.8,334.7415572564663
2016-05-10 00:00:00,323.5,335.0337215437361
2016-05-11 00:00:00,318.0,336.06662188119805
2016-05-12 00:00:00,318.2,337.15352185261196
2016-05-13 00:00:00,319.35,336.9130052779181
2016-05-16 00:00:00,329.4,337.1575596457621
2016-05-17 00:00:00,330.5,336.791204538295
2016-05-18 00:00:00,332.7,337.0745969030014
2016-05-19 00:00:00,324.85,337.3066452962066
2016-05-20 00:00:00,330.35,337.301082201123
2016-05-23 00:00:00,346.85,337.5797207457886
2016-05-24 00:00:00,348.05,337.0076567542461
2016-05-25 00:00:00,356.05,336.98796226619334
2016-05-26 00:00:00,362.45,336.8285413767602
2016-05-27 00:00:00,359.3,336.35564427548803
2016-05-30 00:00:00,356.5,334.9159609307111
2016-05-31 00:00:00,351.05,333.723462297109
2016-06-01 00:00:00,361.4,333.07835996208337
2016-06-02 00:00:00,358.0,332.30969678837
2016-06-03 00:00:00,353.9,331.2609279188396
2016-06-06 00:00:00,355.6,328.38591045893713
2016-06-07 00:00:00,362.75,326.85486151308737
2016-06-08 00:00:00,362.8,325.93167656574803
2016-06-09 00:00:00,354.1,324.96015186750395
2016-06-10 00:00:00,350.7,323.7864161079964
2016-06-13 00:00:00,349.9,320.91568712423293
2016-06-14 00:00:00,353.3,319.50253404697474
